x,y,z
2.439592123031616211e+00,7.594047546386718750e+00,-7.096439361572265625e+00
7.721855640411376953e+00,1.407203388214111328e+01,1.469484996795654297e+01
1.226344394683837891e+01,-2.629545927047729492e+00,-1.712671661376953125e+01
1.236702442169189453e+01,1.588920593261718750e+01,7.076486110687255859e+00
5.240669250488281250e+00,1.540320014953613281e+01,3.199181556701660156e-01
9.931264877319335938e+00,-5.154107093811035156e+00,-1.708670043945312500e+01
-6.129183769226074219e+00,-6.724359035491943359e+00,1.280913257598876953e+01
-1.592315673828125000e+00,6.405591964721679688e+00,1.665381622314453125e+01
-2.339593505859375000e+01,-1.040327835083007812e+01,8.533610701560974121e-01
-2.038786315917968750e+01,-8.030823707580566406e+00,-2.048659086227416992e+00
-1.555178403854370117e+00,9.682136535644531250e+00,-1.356598186492919922e+01
8.316986083984375000e+00,-1.602892112731933594e+01,-2.183031082153320312e+00
-3.238858699798583984e+00,-9.793869018554687500e+00,-1.154440975189208984e+01
1.037771511077880859e+01,-1.733740234375000000e+01,-2.030531644821166992e+00
3.174854755401611328e+00,-9.624902725219726562e+00,5.492360591888427734e+00
-1.351204633712768555e+00,7.465029239654541016e+00,-1.798956298828125000e+01
-1.776062774658203125e+01,4.750583648681640625e+00,5.338908672332763672e+00
-1.618109130859375000e+01,-5.794775962829589844e+00,4.686101913452148438e+00
-3.760236024856567383e+00,-1.276269912719726562e+01,-7.841005802154541016e+00
-9.735238075256347656e+00,1.797681927680969238e+00,8.203851699829101562e+00
-1.384665775299072266e+01,-4.516090393066406250e+00,-1.596575450897216797e+01
-6.085124492645263672e+00,-7.495683193206787109e+00,1.210433864593505859e+01
6.381873607635498047e+00,9.459383964538574219e+00,9.524909853935241699e-01
-1.455115032196044922e+01,1.959621310234069824e+00,1.483118057250976562e+01
-2.096832990646362305e+00,1.285419368743896484e+01,-1.634402275085449219e+01
-2.338278388977050781e+01,-1.052178382873535156e+01,8.058061599731445312e-01
-1.376718139648437500e+01,-2.114448785781860352e+00,2.137045145034790039e+00
-7.857660293579101562e+00,-1.141268444061279297e+01,-1.058176994323730469e+01
1.964385032653808594e+01,1.001185131072998047e+01,-4.167043864727020264e-01
6.367970466613769531e+00,9.458239555358886719e+00,9.541287422180175781e-01
-3.904949188232421875e+00,6.001558303833007812e+00,-2.036584472656250000e+01
3.127853631973266602e+00,1.146462321281433105e+00,-5.079374313354492188e+00
-7.801237106323242188e+00,-1.261966133117675781e+01,-1.091455841064453125e+01
-2.552007675170898438e+00,-1.494025135040283203e+01,-8.796520233154296875e+00
1.757492446899414062e+01,7.193421363830566406e+00,-3.721963167190551758e+00
-2.146301269531250000e+01,3.493934154510498047e+00,-1.459578132629394531e+01
5.419630408287048340e-01,3.198337852954864502e-01,2.301231920719146729e-01
-5.154193878173828125e+00,3.015652418136596680e+00,-1.960712242126464844e+01
-9.139042854309082031e+00,2.406969070434570312e+00,1.373744010925292969e+01
6.677146911621093750e+00,-9.917487144470214844e+00,-1.415685558319091797e+01
-1.411063861846923828e+01,-8.252894401550292969e+00,4.583399772644042969e+00
-9.899334907531738281e+00,-1.306191539764404297e+01,-9.990415573120117188e+00
1.202752876281738281e+01,-3.322425365447998047e+00,-1.728609657287597656e+01
-4.424102783203125000e+00,1.714019393920898438e+01,-2.856954097747802734e+00
2.062091588973999023e+00,4.458949565887451172e+00,-1.324199104309082031e+01
-5.782220363616943359e+00,5.943647861480712891e+00,-4.266818046569824219e+00
-1.078156471252441406e+01,5.682303428649902344e+00,9.935938835144042969e+00
4.187417984008789062e+00,-9.590408325195312500e+00,6.489652156829833984e+00
-8.334401130676269531e+00,-1.355840396881103516e+01,1.134501361846923828e+01
-2.344004058837890625e+01,3.464815855026245117e+00,-1.152235412597656250e+01
-1.614059448242187500e+01,-7.458560943603515625e+00,-4.085977554321289062e+00
-9.041579246520996094e+00,9.534311294555664062e+00,1.172422170639038086e-01
-3.094153881072998047e+00,1.231877994537353516e+01,-1.876743316650390625e+01
